Date,Tweet,Sentiment
2022-03-06 02:44:51,"[habis, mas, orang]",positive
2022-03-06 02:42:16,"[sederhana, dalamm, izin]",positive
2022-03-06 02:12:31,"[heran, sih, benci]",positive
2022-03-06 01:42:17,"[ringan, beban, laku, umkm]",positive
2022-03-06 00:42:16,"[gubernur, wajib, tetap, upah, minimum, buruh]",positive
2022-03-06 00:27:24,"[jogja, ribut, duga, belok, sejarah, keluar, naskah, akademik, kelola, negara, amatir, kaca, proses, buat, anulir, mk]",negative
2022-03-05 23:12:32,"[rugi, ko]",positive
2022-03-05 18:59:20,"[manfaat]",positive
2022-03-05 15:18:49,"[sekian, tulis, kupas, kondisi, buruh, re, ker, as, our, collective, iron, ball]",positive
2022-03-05 14:12:31,"[tetap, jam, rancang, untung, buruh]",positive
2022-03-05 13:42:18,"[sederhana, atur]",positive
2022-03-05 12:12:23,"[mudah, izin, buka, usaha]",positive
2022-03-05 11:42:16,"[bantu, laku, umkm, tengah]",positive
2022-03-05 11:12:30,"[ayo, bangkit, ekonomi, dukung]",positive
2022-03-05 10:42:19,"[bantu, buruh]",positive
2022-03-05 10:12:21,"[wujud, mimpi, buruh]",positive
2022-03-05 09:42:18,"[bangkit, ekonomi, bangsa]",positive
2022-03-05 08:27:46,"[lights, mangkas, proses, birokrasi, hukum, jamin, hukum, pasti, investasi]",positive
2022-03-05 08:27:30,"[lights, dampak, tingkat, iklim, usaha, investasi, lapang, juta]",positive
2022-03-05 08:27:12,"[lights, mudah, optimisme, investor, asing, tanam, modal, usaha]",positive
2022-03-05 08:26:30,"[dampak, tingkat, iklim, usaha, investasi, lapang, juta, masyarakat]",positive
2022-03-05 08:26:13,"[mangkas, proses, birokrasi, hukum, jamin, hukum, pasti, investasi]",positive
2022-03-05 08:26:04,"[mudah, optimisme, investor, asing, tanam, modal, usaha]",positive
2022-03-05 08:24:57,"[mangkas, proses, birokrasi, hukum, jamin, hukum, pasti, investasi]",positive
2022-03-05 08:23:02,"[dampak, tingkat, iklim, usaha, investasi, lapang]",positive
2022-03-05 06:08:58,"[perijinan, ambil, alih, pusat]",positive
2022-03-05 04:36:14,"[dorong, lahir, koperasi, modern, umkm, kelas]",positive
2022-03-05 04:36:13,"[guru, ipb, tuju, lapang]",positive
2022-03-05 04:36:13,"[perintah, hormat, taat, putus, mk, kait, revisi]",positive
2022-03-05 04:36:13,"[wujud, visi, negara]",positive
2022-03-05 04:36:11,"[laku, revisi, perintah, keluar, atur, turun, fokus, revisi, sesuai, masuk, mk, revisi]",positive
2022-03-05 03:40:00,"[dampak, tingkat, iklim, usaha, investasi, lapang, juta, masyarakat]",positive
2022-03-05 03:36:00,"[mangkas, proses, birokrasi, hukum, jamin, hukum, pasti, investasi, investor, perintah]",positive
2022-03-05 03:31:00,"[mudah, optimisme, investor, asing, tanam, modal, usaha, lapang, serap, tenaga, masyarakat]",positive
2022-03-05 02:52:52,"[arah, sentralistik, jakarta, lihat, bumn, merger, muncul, daerah, izin, urus, sda, televisi, tayang, hidup, jakarta, berita, sinetron]",negative
2022-03-05 02:50:27,"[kalo, abis, kontrak, dapet, kompensasi]",positive
2022-03-05 01:52:57,"[eksaminasi, publik, putus, mk, uji, formil, nomor, pxviii, jo, putus, mk, nomor, pxviii]",positive
2022-03-04 23:37:16,"[ntt, opini, kanwil, ntt, peluang, laku, umkm, bangkit, tengah, pandemi, lengkap]",positive
2022-03-04 22:11:11,"[konon, susun, dukung, naskah, akademik, langgar, konstitusi]",negative
2022-03-04 20:33:31,"[pesan, khusus, jabat, lantik, pantau, optimal, aktivitas, tetap]",positive
2022-03-04 18:46:42,"[kejar, hasrat, investasi, beleid, sapu, jagat, pindah, kota, bahas]",negative
2022-03-04 17:19:40,"[sosialisasi, hak, suasana, kondusif]",positive
2022-03-04 14:13:16,"[konon, susun, dg, dukung, naskah, akademik, langgar, konstitusi]",negative
2022-03-04 13:57:56,"[sempurna, jamin, investasi, lindung, tenaga]",positive
2022-03-04 12:12:21,"[dukung, terap]",positive
2022-03-04 12:11:24,"[kejar, hasrat, investasi, beleid, sapu, jagat, pindah, kota, bahas, super, cepat, kota, negara, hukum, tulis, terbit, partisipasi, publik, esensi, demokrasi]",negative
2022-03-04 11:41:58,"[sekian, tulis, kupas, kondisi, buruh, re, ker, as, our, collective, iron, ballchainedtoankle, indopoggers, tulis, bagus, primer]",positive
2022-03-04 11:19:06,"[dpr, percaya, rendah, sorot, publik, proses, nilai, cepat, libat, partisipasi, publik, ikn]",negative
2022-03-04 11:07:16,"[lapang, oligarki, kuat, alir, modal, rugi]",negative
2022-03-04 10:42:18,"[dasar, sah]",positive
2022-03-04 10:01:10,"[resmi, prosedur, daftar, izin, usaha, baharu, ossrba, online, single, submission, riskbased, apporach, ossrba, sistem, izin, usaha, dasar, resiko, integrasi, elektronik]",positive
2022-03-04 09:21:27,"[pesan, khusus, jabat, lantik, pantau, optimal, aktivitas, tetap, ruang, laut, awal, revisi, tingkat, kualitas, sumber, daya, manusia, didik, vokasi, nelayan]",positive
2022-03-04 08:12:30,"[pihak, masyarakat, tekan, angka, anggur]",positive
2022-03-04 07:12:54,"[proses, paksa, kpk, minerba, paksa, pindah, ikn, bahaya, hidup, rakyat, penting, penting, oligarki, konten]",negative
2022-03-04 06:12:22,"[untung, buruh]",positive
2022-03-04 05:48:32,"[perintah, taat, putus, mk, kait, laku, investasi, maju, ekonomi, nasional]",positive
2022-03-04 05:42:18,"[sejahtera, buruh]",positive
2022-03-04 03:52:12,"[listrik, bikin, bakar, salah, tahan, pangan, impor, nyata, inkonstitusional, lupa, susah, bingung, ngapain]",negative
2022-03-04 02:40:41,"[investasi, untung, upaya, perintah, investasi, sederhana, izin, birokrasi]",positive
2022-03-03 17:33:38,"[judul, skripsi, guys, analisis, yuridis, syarat, payudara, lamar, tinjau, ketenagaan]",negative
2022-03-03 16:05:37,"[mari, beranda, andai, rakyat, demo, revisi, kpk, jilid, jilid, sah, rezim, sungguh, langgar, garis]",negative
2022-03-03 14:31:55,"[contoh, kpk, perintah, dengar, aspirasi, masyarakat, akomodir, libat, masyarakat, batas, ritual, semu]",negative
2022-03-03 14:18:14,"[jamin, investasi]",positive
2022-03-03 13:45:48,"[perintah, sayang, tabiat, blunder, zonk, regulasi, jht, gagal]",negative
2022-03-03 13:23:15,"[pajak, dividen, negeri, tetap, kena, tarif, yah, terima, badan, op]",positive
2022-03-03 11:27:53,"[ri, sulsel, kasubid, ahu, kemenkumham, sulsel, jean, henry, patu, persero, orang, jenis, badan, hukum, atur, no, ri, sulsel]",positive
2022-03-03 10:42:04,"[aker, tindak, pidana, ketenagaan, usaha, larang]",negative
2022-03-03 10:28:07,"[ekspos, pan, pkb, bangkit, lawan, paksa, partai, tolak, tunda, milu]",negative
2022-03-03 09:46:47,"[pesan, tiongkok, perintah, laku, makar, ferry, juliantono]",negative
2022-03-03 09:45:44,"[aluihang, sekjen, mui, mudah, tka, china]",negative
2022-03-03 08:07:13,"[sempurna, jamin, manfaat, langsung, iklim, usaha, investasi]",positive
2022-03-03 08:06:58,"[revisi, jamin, pasti, hukum, mudah, iklim, usaha, investasi]",positive
2022-03-03 08:06:24,"[pasca, pasti, hukum, perintah, investor, usaha, tanam, modal]",positive
2022-03-03 08:05:26,"[pasca, pasti, hukum, perintah, investor, usaha, tanam, modal, relokasi]",positive
2022-03-03 08:04:47,"[sempurna, jamin, manfaat, langsung, iklim, usaha, investasi]",positive
2022-03-03 07:39:00,"[pasca, pasti, hukum, perintah, investor, usaha, tanam, modal, relokasi, produksi, ribu, lowong, sedia]",positive
2022-03-03 07:34:00,"[sempurna, jamin, manfaat, langsung, iklim, usaha, investasi, masyarakat, investor]",positive
2022-03-03 07:33:00,"[revisi, jamin, pasti, hukum, mudah, iklim, usaha, investasi]",positive
2022-03-03 06:27:02,"[iya, dalang, ngaku, jenderal, berani, ngomong, terang, prakasa]",negative
2022-03-03 05:29:37,"[reklamasi, batal, lbp, sikeras, ikn]",negative
2022-03-03 05:04:20,"[reklamasi, batal, lbp, sikeras, ikn, langsung, batal, presiden]",negative
2022-03-03 05:03:43,"[naudzubillah, periode, sengsara, rakyat]",negative
2022-03-03 04:05:39,"[kepal, kawal, putus, mk, uji, formil]",positive
2022-03-03 03:17:07,"[sikap, populer, zulhas, ekspos, tunda, milu, buah, hasil, untung, awal, demokrasi, bukti, rencana, mentah, tolak, nya, nyelonong, ikn]",negative
2022-03-03 03:13:23,"[ekspos, pan, pkb, bangkit, lawan, paksa, partai, tolak, tunda, milu, ekspos, tunda, milu, jalan, lancar, ikn, terkadang, sikap, populer, juang]",negative
2022-03-03 03:00:04,"[terlu, pojok, ambil, langkah, populer, tunda, milu, nyelonong, politik, penuh, trik, ujung, kali, ujung, tunda, milu, gagal, salut]",negative
2022-03-03 02:56:50,"[alhamdulillah, lang, ambil, populer, dukung, buka, publik, paham, rencana, buruk, partai, partai, main, tunda, milu]",negative
2022-03-02 22:24:07,"[alihalih, ubah, nyata, inkonstitusional, syarat, mk, dpr, revisi, bentuk]",negative
2022-03-02 21:58:07,"[usul, revisi, bentuk, atur, perundangundangan, tuju, akomodasi, ada]",positive
2022-03-02 21:57:52,"[dpr, gelar, konsultasi, akademis, kota, revisi, ppp, bentuk, atur, perundangundangan]",positive
2022-03-02 16:17:54,"[industrial, policy, udah, bahas, tulis]",positive
2022-03-02 15:11:33,"[fakta, perintah, ubah, politik, pangan, revisi, undangundang, pangan]",positive
2022-03-02 14:34:44,"[letup, partai, tunda, milu, nongol, rem, kayak, ikn]",negative
2022-03-02 14:12:09,"[biar, main, parlemen, lolos, lolos, ikn, jeda, usul, tunda, milu, partai, koalisi, paksa, pilih, taruh, citra, patuh, perintah]",negative
2022-03-02 14:01:31,"[tindak, pidana, ketenagaan, usaha, larang, bayar, upah, upah, minimum, tetap]",negative
2022-03-02 13:59:24,"[tunggu, tri, bikin, manuver, alih, isu, kaya, kali, lihat, rakyat, buruh, hela, nafas, sebentar, kemarin, atur, sangon, dizolimi, puas, kali]",negative
2022-03-02 13:53:08,"[bikin, manuver, kuasa, kali, lihat, rakyat, buruh, hela, nafas, sebentar, kemarin, atur, sangon, dizolimi, puas]",negative
2022-03-02 13:44:43,"[tuju, pindah, bikin, bener, perintah, dpr, ajar, paham, draft, r, kaya, peduli]",negative
2022-03-02 12:49:56,"[bentuk, ekosistem, industri, ramah, kondusitf, imbang, market, labour]",positive
2022-03-02 12:15:54,"[sikap, biar, tanda, tangan, jurus, cari, aman, lancar, nih, jokowi, sarat, polemik, penting, belepotan, tangan, wajar, sama, tunda, milu, salah, dian]",negative
2022-03-02 11:53:16,"[lindung, bisnis, kelompok, elit, oligarki, substansi, pasal, sektor, tambang, energi, yah]",negative
2022-03-02 11:45:22,"[dio, regulasi, hambat, coba, benah, bahas, jokowi, banyak, regulasi, coba, ikut, protes]",negative
2022-03-02 11:35:00,"[regulasi, bantu, mudah, doang, mah, bahas, lpdp, bubar, bahas, networking, cari, investor, diskusi, sedia, perintah, regulasi]",negative
2022-03-02 11:24:25,"[bijak, pegang, zaman, batal]",negative
2022-03-02 11:24:17,"[industrial, policy, udah, bahas, tulis]",positive
2022-03-02 11:14:31,"[ramdani, bikin, investasi, perintah, sektor, industri, liat, investasi, sektor, industri, kuat, negara]",negative
2022-03-02 11:00:38,"[iya, dalang, ngaku, jenderal, berani, ngomong, terang, prakasa, dimanamana]",negative
2022-03-02 10:41:50,"[fakta, perintah, ubah, politik, pangan, revisi, undangundang, pangan, tempat, impor, strategi, tahan, pangan, pilih, sedia, pangan, pasok, lokal]",positive
2022-03-02 09:23:51,"[jalan, perintah, joko, widodo, maruf, amin, praktik, otoritarianisme, hina, konstitusi, kerapkali, proses, paksa, kpk, minerba, paksa, pindah, ikn, bahaya, hidup, rakyat]",negative
2022-03-02 08:59:18,"[silah, liat, negara, kasih, sinyal, publik, industrialisasi, investasi, perintah, sektor, industri, terima, sinyal, industrialisasi]",negative
2022-03-02 06:33:19,"[gantung, impor, era, jokowi, hebat, liberalisasi, impor, buruk]",negative
2022-03-02 06:25:19,"[narasi, swasembada, jokowi, panggang, api, perintah, kesah, undangundang, ker, oktober, ganti, radikal, frasa, daulat, pangan, nomor, pangan]",negative
2022-03-02 05:31:58,"[harap, dorong, masuk, investasi, kualitas, dampak, serap, tenaga, tingkat, tumbuh, ekonomi]",positive
2022-03-02 04:29:07,"[acu, hasil, survei, the, economist, intelligence, unit, eiu, skor, ratarata, indeks, demokrasi]",positive
2022-03-02 03:59:52,"[lawan, omnibus, law, gelora, bukti, beleid, reduksi, paksa, undang, investor, abalabal, indah, fatamorgana]",negative
2022-03-02 03:30:00,"[acu, hasil, survei, the, economist, intelligence, unit, eiu, skor, ratarata, indeks, demokrasi, tingkat, sumbangsih, putus, mk, uji, formil, ks]",positive
2022-03-02 03:08:43,"[mk, oligarki, kabul, gugat, olah, mk, revisi, kpk, presidential, threshold, lolos, bubar, mk]",negative
2022-03-02 02:42:05,"[lindung, bisnis, kelompok, elit, oligarki, substansi, pasal, sektor, tambang, energi, untung, bisnis, afiliasi, elit, politik, up]",negative
2022-03-02 02:17:33,"[aku, omnibus, law, gagal, penuh, janji, ekonomi, roket]",negative
2022-03-02 00:42:17,"[langsung, dukung, ubah, ekonomi, lanjut]",positive
2022-03-01 17:35:43,"[manfaat]",positive
2022-03-01 15:25:28,"[mhd, menaker, jht, inkonstitusional, inkonstitusional]",negative
2022-03-01 15:25:21,"[bicara, demokrasi, produk, demokrasi, bikin, geli, bicara, koalisi, gemuk, mrs, menang, koalisi, menang, tolak, baca, pasal, demo, terima, kompres, air, es, biar, adem, mas, bro]",negative
2022-03-01 14:18:35,"[aha, hatrik, pandora, tunda, milu]",negative
2022-03-01 13:00:01,"[kontroversi, laku, pasca, nyata, inkonstitusional, mk, kait, tetap, sesuai, ump, dki, jakarta, analisis, dasar, legal, aspect]",negative
2022-03-01 12:52:30,"[kontroversi, laku, pasca, putus, mk]",negative
2022-03-01 12:51:16,"[kontroversi, laku, pasca, putus, mk, ii]",negative
2022-03-01 12:23:59,"[nomor, tingkat, lindung, sejahtera]",positive
2022-03-01 09:25:46,"[yg, sakit, kecuali, laku, nyata, inkonstitusional, bersyarakat, ma, cetus, gerilya, kampus, cari, dukung, coba, nya, masalah, rugi]",negative
2022-03-01 08:08:33,"[ingat, nyata, anggota, pdip, ripka, djiptaning, tolak, cuman, gimmick, doank, pdip, tuju]",negative
2022-03-01 06:23:45,"[sempurna, jamin, investasi, lindung, tenaga]",positive
2022-03-01 05:04:12,"[rakyat, tolak, demonstrasi, dor, nyawa, layang, dagel, cuybikin, muak, aja]",negative
2021-09-04 19:10:37,"[kartikaa, alat, rampok, sumber, sumber, agraria, pa, ingkar, september, mari, janji]",negative
2021-09-04 15:37:19,"[hukum, salah, kaprah, ite, ganti, subversi, era, orbatahun, rezim, ngebut, nuntaskan, prolegnas, tersebutsama, hal, penting, tin, pakai, cuan, cukongmakanya, cepat, ketok, cepat]",negative
2021-09-04 08:12:27,"[pasca, terbit, no, ck, cepat, bangun, mudah, izin]",positive
2021-09-04 08:10:59,"[pasca, terbit, no, ck, cepat, bangun, mudah, izin, usaha, tata, ruang, anggap, panglima, dalam, amanat, integrasi, tata, ruang, rencana, zonasi, kawasan, lainlain]",positive
2021-09-03 23:53:17,"[mah, pki, doang, gera, kiri, tolak, hollaback, jakarta, jakarta, feminist]",negative
2021-09-03 22:53:50,"[buat, ss, langgar, pasal, jo, pasal, ayat, undangundang, nomor, tentu, tata, paja, kali, ubah, nomor]",negative
2021-09-03 17:38:38,"[ajar, dr, alam, kpk, bahas, senyap, lolos, r, hip, gol, jg, untung, cepat, tau, gagal, skrg, mo, ulang, lg, dgn, issu, amandemen, d, waspada, periode, gol]",negative
2021-09-03 17:30:01,"[alat, rampok, sumber, agraria, pa, ingkar, sept, mari, janji, abadi, selamat, tanahair]",negative
2021-09-03 13:00:05,"[gunawan, ck, tani, nelayan, ck, rubah, kait, tani, nelayan]",negative
2021-09-03 12:47:31,"[ck, tani, nelayan, ck, rubah, kait, tani, nelayan, mohon, libat, bahas, diskriminasi]",negative
2021-09-03 11:03:38,"[lahmemang, biasa, rezim, tau, tau, gol, tuh, kpk, pd, waspada, implementasi, kemudi, gub, dki, pikir, capres, capresan, tau, nyapres, sungguh]",negative
2021-09-03 10:51:50,"[piliang, sah, gugat, mk, basi, muka, lugu, nipu]",negative
2021-09-03 10:48:44,"[jembatan, program, mitigasi, reformasi, struktural, jangka]",positive
2021-09-03 10:48:40,"[hrt, dorong, reformasi, struktural, terobos, reformasi]",positive
2021-09-03 07:13:35,"[langsung, dukung, ubah, ekonomi, lanjut]",positive
2021-09-03 04:55:19,"[embara, jembatan, program, mitigasi, reformasi, struktural, jangka]",positive
2021-09-03 04:55:12,"[embara, hrt, dorong, reformasi, struktural, terobos, reformasi, bidang]",positive
2021-09-03 04:34:57,"[jembatan, program, mitigasi, reformasi, struktural, jangka, bijak, optimisme, pulih, ekonomi, lanjut]",positive
2021-09-03 04:34:57,"[hrt, dorong, reformasi, struktural, terobos, reformasi, bidang, investasi, dagang, dorong, lapang]",positive
2021-09-03 03:53:16,"[izin, usaha, hsa, mantan, kepala, daerah, brarti, digembargemborkan]",positive
2021-09-03 03:52:01,"[izin, usaha, hsa, mantan, kepala, daerah, brarti, digembargemborkan, perintah, pusat, laku, probolinggo]",negative
2021-09-03 02:10:26,"[cepat, program, pulih, ekonomi, nasional]",positive
2021-09-03 02:10:23,"[cepat, pulih, ekonomi]",positive
2021-09-03 02:10:19,"[damping, lindung, umkm]",positive
2021-09-03 01:51:05,"[terbit, reformasi, izin, usaha, wujud, mudah]",positive
2021-09-02 23:07:26,"[hc, gera, draft, susah, batal, tolak, lupa, revisi, kpk, batal]",negative
2021-09-02 23:01:57,"[bukti, niat, amandemen, gera, mahasiswa, rakyat, ubah, disahkankarena, draft, sempat, sidang, hal, kpk, susah, ngebatalinnya]",negative
2021-09-02 21:37:49,"[juta, juta, beda, kok, aneh]",negative
2021-09-02 21:22:54,"[ramah, lingkung]",positive
2021-09-02 17:56:29,"[manfaat, nyata, rasa]",positive
2021-09-02 17:56:29,"[putus, rezim, gak, bilang, tolol, tetap, sangon, wamen]",negative
2021-09-02 17:55:06,"[putus, rezim, bilang, tolol, tetap, sangon, wamen, juta, banding, balik, putus, tetap, sangon, karyawan, gaji, gaji]",negative
2021-09-02 17:54:34,"[mudah, usaha]",positive
2021-09-02 17:50:29,"[atur, amdal]",positive
2021-09-02 15:13:05,"[dukung, maju, ekonomi, basis, lestari, lingkung, pulih, nusantara]",positive
2021-09-02 15:13:04,"[khawatir, pecat, haji, khawatir, pecat, hamil, lahir, susu, bayi, diphk, sakit, tenang, gak, khawatir, lindung, ibadah, perempuan, pulih, nusantara]",positive
2021-09-02 15:13:02,"[umkm, bantu, perintah, berkat, pulih, nusantara]",positive
2021-09-02 14:04:56,"[asing, upaya, mandiri, ekonomi, hancur, asing, sedot, minyak, batubara, sedot, nikel, bahan, baku, utama, baterai, listrik]",negative
2021-09-02 13:06:46,"[arifs, ri, rakyat, contoh, sempat, alam, alih, teknologi, tingkat, kualitas, sdm, ri, teori, kadrunisme, paham, hancur, negaranegara, arab, spring]",negative
2021-09-02 10:13:19,"[dukung, pemuda, usaha]",positive
2021-09-02 05:50:23,"[kspi, bengkulu, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:50:15,"[kspi, batam, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:37:13,"[kspi, dki, jakarta, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:28:43,"[gelora, trus, tolak]",negative
2021-09-02 05:20:05,"[kspi, dki, jakarta, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:19:54,"[dki, jakarta, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 05:10:25,"[batam, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 05:04:52,"[bengkulu, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 05:04:44,"[kspi, jakarta, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:04:36,"[kspi, jakarta, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 05:04:17,"[jakarta, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 05:03:21,"[jakarta, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 04:54:52,"[kspi, bandung, barat, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 04:54:29,"[bandung, barat, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 04:51:26,"[kspi, cileungsi, gerak, juang, batal, omnibus, law, awal, jalan]",negative
2021-09-02 04:46:37,"[kspi, cileungsi, bogor, gerak, juang, batal, omnibus, law]",negative
2021-09-02 04:46:25,"[cileungsi, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 04:45:20,"[cileungsi, bogor, gerak, juang, batal, omnibus, law, awal, jalan, sidang, uji, materi, mahkamah, konstitusi]",negative
2021-09-02 02:53:40,"[transformasi, digital, infrastruktur, internet, pusat, data, nasional, sumber, daya, manusia, kuat, ekosistem, ekonomi, digital]",positive
2021-09-02 02:50:27,"[lingkup, regulasi, produk, hasil, dpr, kerap, kali, tolak, butuh, masyarakat, akan, nihil, aspek, berantas, korupsi, poin, rujuk, kesah, minerba, bobrok]",negative
2021-09-02 02:50:00,"[transformasi, digital, infrastruktur, internet, pusat, data, nasional, sumber, daya, manusia, kuat, ekosistem, ekonomi, digital, r, pdp]",positive
2021-09-02 02:30:00,"[sektor, pos, telekomunikasi, siar, postelsiar, buka, ruang, luas, kembang, maju, inovasiinovasi, pasti, transformasi, digital]",positive
2021-09-02 02:07:49,"[incremental, capital, output, ratio, icor, angka, tinggi, kawasan, perintah, harap, laksana, baik, sektor]",positive
2021-09-02 02:05:40,"[prioritas, cepat, transformasi, digital, nasinal, infrastruktur, internet, pusat, data, nasional, sdm]",positive
2021-09-02 02:04:18,"[aspek, transformasi, digital, insfratruktur, internet, pusat, data, nasional]",positive
2021-09-02 02:04:05,"[prioritas, cepat, transformasi, digital, nasional, infrastruktur, internet, pdn, sdm, kuat, ekosistem]",positive
2021-09-02 02:03:00,"[prioritas, cepat, transformasi, digital, nasinal, infrastruktur, internet, pusat, data, nasional, sdm, kuat, ekosistem, ekonomi, digital, r, pdp]",positive
2021-09-02 02:01:13,"[aspek, transformasi, digital, insfratruktur, internet, pusat, data, nasional, sumber, daya, manusia, kuat, ekonsistem, ekonomi, digital, r, pdp]",positive
2021-09-02 02:01:00,"[prioritas, cepat, transformasi, digital, nasional, infrastruktur, internet, pdn, sdm, kuat, ekosistem, ekonomi, digital, r, pdp]",positive
2021-09-02 02:00:01,"[prioritas, transformasi, digital, infrastruktur, internet, pusat, data, nasional, sumber, daya, manusia, kuat, sistem, ekonomi, digital, r, pdp]",positive
2021-09-02 01:18:24,"[sial, nasib, bangsa, kalo, ri, berfikir, penting, partairezim, penting, rakyat, nomor, sekian]",negative
2021-09-02 00:57:04,"[center, bijak, tempuh, perintah, memebrikan, dampak, pulih, ekonomi, empat, kebiajkan, omnibus, law, bentuk, deregulasi, amandemen]",positive
2021-09-02 00:54:38,"[atur, laksana, masalah, ada, tanah, cek, berita, lengkap, sob, repost, bpn]",positive
2021-09-02 00:52:39,"[salah, satu, undangundang, nomor, tiga, ekonomi]",positive
2021-09-02 00:52:20,"[rp, triliun, fokus, intervensi, sehat, program, lindung, sosial, dukung, umkm, program, padat, karya, prioritas, perintah, komitmen, laksana, serta, atur, laksana, sesuai, standar, internasional]",positive
2021-09-02 00:43:16,"[omnibus, law, bentuk, deregulasi, amandemen, pasalpasal, bawa, efisiensi, birokrasi, mangkas, atur, kait, izin, usaha, investasi]",positive
2021-09-02 00:02:13,"[masuk, peringkat, negara, target, duduk, peringkat, dunia, mudah, usaha]",positive
2021-09-01 23:14:00,"[hilang, pungli, sistem, online]",negative
2021-09-01 15:44:34,"[wakil, buruh, gugat, undangundang, klaster, ketenagaan]",negative
2021-09-01 15:43:09,"[wakil, buruh, gugat, undangundang, klaster, ketenagaan]",negative
